affix,type,,
m,1,,
ma,1,,
mi,1,,
man,1,,
maha,1,,
manka,1,,
mana,1,,
a,1,,
f,1,,
i,1,,
k,1,,
m,1,,
mp,1,,
t,1,,
da,1,,
fa,1,,
ga,1,,
ha,1,,
ja,1,,
ka,1,,
la,1,,
ma,1,,
mpa,1,,
na,1,,
pa,1,,
sa,1,,
ta,1,,
tsa,1,,
va,1,,
za,1,,
an,1,,
fan,1,,
in,1,,
san,1,,
tan,1,,
fi,1,,
ki,1,,
mpi,1,,
tsi,1,,
bo,1,,
do,1,,
fo,1,,
go,1,,
ho,1,,
jo,1,,
po,1,,
mo,1,,
ko,1,,
ro,1,,
so,1,,
to,1,,
tso,1,,
vo,1,,
voa,1,,
faha,1,,
fampa,1,,
fampan,1,,
fampi,1,,
fampo,1,,
fana,1,,
fanka,1,,
fian,1,,
fifamp,1,,
fifan,1,,
fiha,1,,
mampa,1,,
mampan,1,,
mampi,1,,
mampo,1,,
mian,1,,
mifamp,1,,
mifan,1,,
miha,1,,
mpaha,1,,
mpampa,1,,
mpampan,1,,
mpampi,1,,
mpampo,1,,
mpana,1,,
mpanka,1,,
mpian,1,,
mpifamp,1,,
mpifan,1,,
mpiha,1,,
kara,1,,
mango,1,,
soma,1,,
tafa,1,,
tako,1,,
tala,1,,
ampaha,1,,
fampaha,1,,
fampampi,1,,
fampana,1,,
fampanka,1,,
fampiha,1,,
fifampa,1,,
fifampan,1,,
fifampi,1,,
fifana,1,,
fifanka,1,,
mampifampi,1,,
mampifana,1,,
mampifanka,1,,
mampaha,1,,
mampampa,1,,
mampampi,1,,
mampana,1,,
mampanka,1,,
mampiha,1,,
mampifan,1,,
mifampa,1,,
mifampa,1,,
mifampan,1,,
mifampi,1,,
mifana,1,,
mifanka,1,,
mampifampan,1,,
mpampaha,1,,
mpampampa,1,,
mpampampi,1,,
mpampana,1,,
mpampanka,1,,
mpampiha,1,,
mpifampi,1,,
mpifana,1,,
mpifanka,1,,
ana,2,,
ina,2,,
na,2,,
a-ana,3,,
aha-ana,3,,
ampan-ana,3,,
ampi-ana,3,,
an-ana,3,,
ana-ana,3,,
anka-ana,3,,
fa-ana,3,,
faha-ana,3,,
fampan-ana,3,,
fampi-ana,3,,
fan-ana,3,,
fana-ana,3,,
fanka-ana,3,,
fi-ana,3,,
fifan-ana,3,,
fifanka-ana,3,,
fiha-ana,3,,
ha-ana,3,,
i-ana,3,,
a-ina,3,,
ampan-ina,3,,
ampi-ina,3,,
an-ina,3,,
anka-ina,3,,
fan-ina,3,,
ha-ina,3,,
a-na,3,,
aha-na,3,,
ampi-na,3,,
ampo-na,3,,
an-na,3,,
anka-na,3,,
f-na,3,,
fa-na,3,,
faha-na,3,,
fampan-na,3,,
fampi-na,3,,
fampo-na,3,,
fan-na,3,,
fan-ny,3,,
fanka-na,3,,
fi-na,3,,
fian-na,3,,
fifan-na,3,,
fifana-na,3,,
fiha-na,3,,
ha-na,3,,
i-na,3,,
ifan-na,3,,
-al-,4,,
-an-,4,,
-am-,4,,
-ar-,4,,
-ij-,4,,
-il-,4,,
-in-,4,,
-ir-,4,,
-n-,4,,
-ol-,4,,
-om-,4,,
-on-,4,,
-or-,4,,
-ra-,4,,
-re-,4,,
-vo-,4,,
-za-,4,,
-'ny,5,,
-'inay,5,,
faha,1,,
